job_0_ablation_0.00_povs_post,job_2_ablation_0.06_povs_post,job_6_ablation_0.19_povs_post,job_14_ablation_0.43_povs_post,job_16_ablation_0.50_povs_post,job_19_ablation_0.59_povs_post,job_12_ablation_0.37_povs_post,job_13_ablation_0.40_povs_post,job_29_ablation_0.90_povs_post,job_22_ablation_0.68_povs_post,job_1_ablation_0.03_povs_post,job_24_ablation_0.74_povs_post,job_17_ablation_0.53_povs_post,job_8_ablation_0.25_povs_post,job_3_ablation_0.09_povs_post,job_20_ablation_0.62_povs_post,job_25_ablation_0.78_povs_post,job_27_ablation_0.84_povs_post,job_18_ablation_0.56_povs_post,job_7_ablation_0.22_povs_post,job_10_ablation_0.31_povs_post,job_15_ablation_0.47_povs_post,job_28_ablation_0.87_povs_post,job_26_ablation_0.81_povs_post,job_11_ablation_0.34_povs_post,job_21_ablation_0.65_povs_post,job_9_ablation_0.28_povs_post,job_23_ablation_0.71_povs_post,job_5_ablation_0.16_povs_post,job_4_ablation_0.12_povs_post
0.035,0.025,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.017,0.05,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.025,0.011
0.032,0.022,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.016,0.041,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.023,0.01
0.03,0.021,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.013,0.04,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.021,0.009
0.028,0.021,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.012,0.038,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.019,0.007
0.026,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.01,0.033,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.018,0.006
0.024,0.018,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.007,0.032,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.016,0.005
0.022,0.017,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.005,0.031,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.005
0.02,0.015,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.001,0.029,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.004
0.019,0.014,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.004
0.017,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.003
0.015,0.011,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.002
0.014,0.011,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001
0.012,0.01,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001
0.011,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
0.009,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
